episode,timestep,reward,length,loss,q_mean,epsilon
52,52932,-1001.0,1001,0.1605985164642334,-50.8125,0.1497681999995286
53,53933,-1001.0,1001,0.5381691455841064,-51.46875,0.1299483999995421
54,54934,-1001.0,1001,0.14318352937698364,-52.96875,0.11012859999954519
55,55935,-1001.0,1001,0.14966192841529846,-52.1875,0.09030879999954482
56,56936,-1001.0,1001,0.1556069701910019,-54.28125,0.07048899999954444
57,57937,-1001.0,1001,0.12723705172538757,-53.6875,0.05066919999954407
58,58938,-1001.0,1001,0.12563574314117432,-56.03125,0.030849399999543697
59,59939,-1001.0,1001,0.12506604194641113,-55.34375,0.011029599999543324
60,60940,-1001.0,1001,0.1203182190656662,-56.75,0.01
61,61941,-1011.0,1001,0.12420705705881119,-56.65625,0.01
62,62942,-1001.0,1001,0.10981348156929016,-58.09375,0.01
63,63943,-1001.0,1001,0.10654190182685852,-57.21875,0.01
64,64944,-1001.0,1001,0.10075552761554718,-58.625,0.01
65,65945,-1001.0,1001,0.10045106709003448,-58.8125,0.01
66,66946,-1001.0,1001,0.09406077116727829,-60.03125,0.01
67,67947,-1001.0,1001,0.09942340850830078,-59.9375,0.01
68,68948,-1001.0,1001,0.09547454118728638,-61.1875,0.01
69,69949,-1001.0,1001,0.08369741588830948,-61.0,0.01
70,70950,-1001.0,1001,0.09255729615688324,-63.15625,0.01
71,71951,-1001.0,1001,0.07890443503856659,-62.46875,0.01
72,72952,-1001.0,1001,0.08046066761016846,-64.0,0.01
73,73953,-1001.0,1001,0.08371086418628693,-63.125,0.01
74,74954,-1001.0,1001,0.08006441593170166,-65.0625,0.01
75,75955,-1001.0,1001,0.0687006339430809,-64.75,0.01
76,76956,-1001.0,1001,0.06944523751735687,-65.75,0.01
77,77957,-1001.0,1001,0.07645733654499054,-66.5,0.01
78,78958,-1001.0,1001,0.07100049406290054,-66.8125,0.01
79,79959,-1001.0,1001,0.06654424220323563,-66.625,0.01
80,80960,-1001.0,1001,0.0607292577624321,-67.375,0.01
81,81961,-1001.0,1001,0.05893386900424957,-67.25,0.01
82,82962,-1001.0,1001,0.05947627127170563,-68.5,0.01
83,83963,-1001.0,1001,0.057934556156396866,-68.0625,0.01
84,84964,-1001.0,1001,0.0737689733505249,-70.0,0.01
85,85965,-1001.0,1001,0.055798280984163284,-69.6875,0.01
86,86966,-1001.0,1001,0.058334752917289734,-70.5625,0.01
87,87967,-1001.0,1001,0.04902511462569237,-69.9375,0.01
88,88968,-1001.0,1001,0.04564950242638588,-71.3125,0.01
89,89969,-1001.0,1001,0.044148169457912445,-70.75,0.01
90,90970,-1001.0,1001,0.04644475877285004,-72.25,0.01
91,91971,-1001.0,1001,0.041095662862062454,-71.9375,0.01
92,92972,-1001.0,1001,0.041656479239463806,-72.375,0.01
93,93973,-1001.0,1001,0.041161686182022095,-72.125,0.01
94,94974,-1001.0,1001,0.22716067731380463,-72.5625,0.01
95,95975,-1001.0,1001,0.0344705656170845,-72.1875,0.01
96,96976,-1001.0,1001,0.21283389627933502,-74.125,0.01
