timestep,loss,q_mean,epsilon
1000,5.518694877624512,-0.056610748171806335,0.9999525
1100,2.379398822784424,-3.720083713531494,0.9952025000000022
1200,2.637289524078369,-3.8769242763519287,0.9904525000000044
1300,2.8009958267211914,-3.9761035442352295,0.9857025000000066
1400,2.651576042175293,-4.174659729003906,0.9809525000000088
1500,2.6193642616271973,-4.407765865325928,0.976202500000011
1600,1.9458189010620117,-4.702558517456055,0.9714525000000132
1700,2.2763891220092773,-4.7796149253845215,0.9667025000000153
1800,2.008594036102295,-5.2429656982421875,0.9619525000000175
1900,2.3374063968658447,-4.826213836669922,0.9572025000000197
2000,1.9047791957855225,-4.926597595214844,0.9524525000000219
2100,2.7230381965637207,-8.91728401184082,0.9477025000000241
2200,3.833286762237549,-9.538335800170898,0.9429525000000263
2300,1.800092339515686,-9.000024795532227,0.9382025000000285
2400,3.8121254444122314,-9.2959623336792,0.9334525000000307
2500,2.3604180812835693,-9.456292152404785,0.9287025000000328
2600,2.7610483169555664,-9.3059720993042,0.923952500000035
2700,1.9154356718063354,-9.004205703735352,0.9192025000000372
2800,2.387843132019043,-9.347057342529297,0.9144525000000394
2900,1.6910640001296997,-9.355684280395508,0.9097025000000416
3000,2.8819236755371094,-9.13668155670166,0.9049525000000438
3100,1.9829591512680054,-13.72239875793457,0.900202500000046
3200,2.568849563598633,-13.879434585571289,0.8954525000000482
3300,1.2094345092773438,-12.964282989501953,0.8907025000000504
3400,1.8516348600387573,-12.713562965393066,0.8859525000000525
3500,0.7876342535018921,-13.60409927368164,0.8812025000000547
3600,3.8935537338256836,-13.185617446899414,0.8764525000000569
3700,2.547454833984375,-12.283920288085938,0.8717025000000591
3800,1.809088110923767,-12.078007698059082,0.8669525000000613
3900,2.33791184425354,-12.159231185913086,0.8622025000000635
4000,2.6805028915405273,-12.469213485717773,0.8574525000000657
4100,2.0199522972106934,-15.501485824584961,0.8527025000000679
4200,1.7625479698181152,-15.173616409301758,0.84795250000007
4300,1.9515235424041748,-15.98641586303711,0.8432025000000722
4400,2.2757673263549805,-15.391962051391602,0.8384525000000744
4500,2.187236785888672,-15.169548034667969,0.8337025000000766
4600,0.5776534676551819,-14.930081367492676,0.8289525000000788
4700,1.6589151620864868,-15.416309356689453,0.824202500000081
4800,1.0114860534667969,-15.895586013793945,0.8194525000000832
4900,1.4131004810333252,-15.288826942443848,0.8147025000000854
5000,2.3881804943084717,-14.900341033935547,0.8099525000000876
5100,1.6872880458831787,-17.363880157470703,0.8052025000000897
5200,1.4440492391586304,-17.361663818359375,0.8004525000000919
