Algorithm,Stationary,Abrupt (100),Abrupt (500),Gradual Drift,Avg Rank
D-UCB(0.99),9,1,1,1,3.00
EpsGreedy-Const,8,6,2,3,4.75
SW-UCB(100),10,4,3,2,4.75
UCB1,2,5,5,12,6.00
D-UCB(0.95),12,2,6,4,6.00
EntropyGradient,4,8,8,6,6.50
D-TS(0.99),11,7,4,5,6.75
ThompsonSampling,1,9,9,13,8.00
Rexp3(100),13,3,7,10,8.25
EpsilonGreedy,6,10,10,9,8.75
EXP3,7,11,11,7,9.00
GradientBandit,3,13,13,8,9.25
DecayingEpsilon,5,12,12,11,10.00
